timestamp_sec,datetime,J1_pos,J2_pos,J3_pos,J4_pos,J5_pos,J6_pos,J1_torque,J2_torque,J3_torque,J4_torque,J5_torque,J6_torque,program_speed,Status
1779842727,45:26.8,-5.753995895,-51.22283554,-15.74585342,3.618161678,-71.9235611,-89.24854279,0.120845921,2.751991272,2.09008503,0.56303215,-0.587750614,0.686624527,60,Run
1779842728,45:27.9,-5.753995895,-51.22283554,-15.74585342,3.618161678,-71.9235611,-89.24854279,0.093380943,2.762977123,2.08184576,0.530074179,-0.606976092,0.71134305,60,Run
1779842729,45:28.9,-5.753995895,-51.22283554,-15.74585342,3.618161678,-71.9235611,-89.24854279,0.104366936,2.724526167,2.09008503,0.483383685,-0.595990121,0.675638556,60,Run
1779842730,45:29.9,-5.753982067,-51.22283554,-15.74582958,3.618258953,-71.92358398,-89.24858856,0.087887943,2.730019331,2.084592104,0.513595164,-0.574018121,0.708596528,60,Run
1779842731,45:30.9,-5.753960609,-51.40764999,-14.01237488,3.584528923,-73.65369415,-89.13464355,0.093380943,1.082120299,3.644603014,-0.480637193,1.25240314,-0.999725342,60,Run
1779842732,45:31.9,-5.753925323,-51.47151566,-12.06613064,3.551226854,-75.59626007,-89.00907135,0.1483109,1.301840186,3.69404006,-0.486130178,1.351277113,-0.85965395,60,Run
1779842733,45:33.0,-5.753896713,-51.3894043,-10.19906998,3.523625135,-77.45986176,-88.89067078,0.1592969,3.021147966,3.762702465,-0.458665192,1.282614708,-0.845921457,60,Run
1779842734,45:34.0,-5.75386858,-51.17819977,-8.399920464,3.500920534,-79.25572968,-88.77817535,0.197747871,3.257346869,3.828618526,-0.488876671,1.414446592,-1.043669343,60,Run
1779842735,45:35.0,-5.753840446,-50.85373306,-6.665549278,3.482523441,-80.98698425,-88.67100525,0.197747871,3.032134056,3.683054209,-0.4778907,1.386981606,-1.131557226,60,Run
1779842736,45:36.0,-5.753811836,-50.42742538,-4.98026371,3.467857838,-82.66925812,-88.56785583,0.142817914,2.977204084,3.633617163,-0.458665192,1.636912942,-1.271628618,60,Run
1779842737,45:37.1,-5.753783226,-49.90716171,-3.330278397,3.456495762,-84.31632996,-88.46761322,0.137324914,3.015655041,3.636363745,-0.491623193,1.700082421,-1.202966213,60,Run
1779842738,45:38.1,-5.753754616,-49.30555344,-1.721878052,3.448230028,-85.92189789,-88.37045288,0.142817914,3.021147966,3.493545771,-0.483383685,1.853886247,-1.397967577,60,Run
1779842739,45:39.1,-5.753726482,-48.62506485,-0.136599541,3.442762852,-87.50440979,-88.27506256,0.175775886,3.092556953,3.372699738,-0.453172207,1.895083785,-1.406207085,60,Run
1779842740,45:40.1,-5.753698349,-47.87385941,1.424403191,3.439958096,-89.06269836,-88.18136597,0.1592969,3.17495203,3.584180117,-0.425707221,2.164240599,-1.417193055,60,Run
1779842741,45:41.1,-5.753669739,-47.05686188,2.96587944,3.439692259,-90.60148621,-88.08891296,0.1538039,3.246360779,3.422136784,-0.266410321,1.818181872,-1.527052999,60,Run
1779842742,45:42.2,-5.753641605,-46.18165207,4.486165047,3.441862345,-92.11912537,-87.99769592,0.142817914,3.048613071,3.474320173,1.131557226,1.922548771,-1.50782752,60,Run
1779842743,45:43.2,-5.753612995,-45.24456787,6.00112915,3.44643569,-93.63145447,-87.90661621,0.137324914,3.109035969,3.306783915,1.609447956,1.862125754,-1.573743463,60,Run
1779842744,45:44.2,-5.753584862,-44.25139236,7.508454323,3.453392744,-95.13613892,-87.81569672,0.126338914,3.043119907,3.218895912,1.661631465,2.035155296,-1.623180389,60,Run
1779842745,45:45.2,-5.753556728,-43.20396805,9.01163578,3.46274662,-96.63667297,-87.72457886,0.137324914,3.076077938,3.293051243,1.752265811,1.834660769,-1.50782752,60,Run
1779842746,45:46.3,-5.753528118,-42.10791779,10.50814629,3.474484682,-98.13053894,-87.63333893,0.104366936,2.878330231,3.07882452,1.826421261,1.917055726,-1.351277113,60,Run
1779842747,45:47.3,-4.472965717,-40.86964798,9.59446907,3.648788691,-91.82472992,-89.14601135,0.675638556,2.658610344,1.598461986,1.977478743,-1.170008183,0.939302385,60,Run
1779842748,45:48.3,-2.094377041,-39.00078964,6.383748055,4.745659828,-77.5520401,-92.20806885,0.884372413,2.400439501,1.711068392,1.842900276,-1.499588013,0.840428472,60,Run
1779842749,45:49.4,0.006759529,-36.7489624,2.886123657,6.955414295,-62.90603638,-95.62033844,0.917330384,2.18621254,1.831914306,1.950013757,-1.966492772,0.884372413,60,Run
1779842750,45:50.4,1.799529672,-34.09462738,-0.786519051,10.71994209,-48.42995834,-100.0772934,1.175501227,1.977478743,1.719307899,2.098324537,-2.296072483,1.057401776,60,Run
1779842751,45:51.4,3.345598459,-30.92638969,-4.661974907,17.71647072,-34.13151169,-107.4419937,1.126064301,1.296347141,1.856632829,2.254874945,-2.403185844,1.076627254,60,Run
1779842752,45:52.4,4.664004326,-27.20074463,-8.674273491,33.84370041,-20.87472916,-123.7042236,1.005218387,0.878879428,1.977478743,2.477341413,-2.617412806,-1.351277113,60,Run
1779842753,45:53.4,5.783414841,-22.87999535,-12.75942802,80.67440796,-12.82910824,-170.4829559,1.268882155,0.192254871,3.930238962,2.455369473,-1.716561437,-1.579236507,60,Run
1779842754,45:54.5,4.404420853,-21.40597725,-14.16131496,106.7663116,-11.77733326,-196.0635223,-0.422960728,-1.170008183,2.109310627,1.439165115,-1.131557226,-1.573743463,60,Run
1779842755,45:55.5,-0.146364346,-21.62487602,-14.10860062,117.2935562,-7.691714287,-205.4274139,-0.604229629,-1.060148358,2.164240599,1.279868126,-0.966767371,-1.299093604,60,Run
1779842756,45:56.5,-0.640107572,-21.62046623,-14.11006451,119.1495743,-7.274693489,-207.1583405,-0.708596528,-0.472397685,2.925020695,1.436418533,-0.554792643,-0.969513893,60,Run
1779842758,45:57.5,-0.640107572,-21.62046623,-14.11006451,119.1495743,-7.274693489,-207.1583405,-0.390002757,-0.428453714,2.908541679,1.408953547,-0.348805279,-0.741554499,60,Run
1779842759,45:58.6,2.959901333,-21.52628708,-14.1316843,109.1915131,-10.44787788,-198.1169128,0.801977456,-0.016478989,4.001647949,-1.463883519,1.211205721,1.505081058,60,Run
1779842760,45:59.6,6.136929512,-21.20505333,-14.20707703,104.4316025,-13.38926029,-194.1795807,0.593243599,-0.532820642,3.88629508,-1.529799461,1.079373837,-0.021971986,60,Run
1779842761,46:00.6,5.131424904,-25.55524635,-10.29424191,46.92643738,-16.51563644,-136.7874298,-0.79648447,-0.812963486,1.939027786,-0.843174934,0.3295798,1.444658041,60,Run
1779842762,46:01.6,3.889457226,-29.53072548,-6.226177216,22.3045578,-28.70565987,-112.1075134,-0.911837399,-0.252677828,3.683054209,-0.3295798,0.170282885,1.579236507,60,Run
1779842763,46:02.6,2.439608812,-32.90594864,-2.298369408,12.93430901,-42.72650528,-102.4699173,-1.175501227,-0.104366936,3.911013365,-0.475144178,0.431200206,-0.942048907,60,Run
1779842764,46:03.7,0.747487664,-35.75499725,1.458749771,8.203924179,-57.17483139,-97.19017792,-0.966767371,0.142817914,3.457841158,-0.263663828,0.790991485,-0.826695979,60,Run
1779842765,46:04.7,-1.207128644,-38.13668442,4.995727539,5.492600441,-71.63328552,-93.51812744,-1.076627254,0.406481743,3.438615799,-0.422960728,0.972260356,-0.653666556,60,Run
1779842766,46:05.7,-3.445177555,-40.1297226,8.288626671,3.984591007,-85.91825104,-90.41867828,-0.988739371,0.7854985,3.295797825,-0.431200206,1.469376564,-0.862400413,60,Run
1779842767,46:06.8,-5.748979092,-41.67688751,11.06991768,3.47962141,-98.6727829,-87.60408783,-0.9557814,0.906344414,3.180444956,-0.543806672,1.628673434,-0.766273022,60,Run
